observation_date,QUSR628BIS
1970-01-01,60.8903
1970-04-01,60.3328
1970-07-01,60.6021
1970-10-01,60.5464
1971-01-01,61.7321
1971-04-01,62.7247
1971-07-01,62.7325
1971-10-01,63.9285
1972-01-01,63.6542
1972-04-01,64.9384
1972-07-01,65.5982
1972-10-01,66.4000
1973-01-01,68.4727
1973-04-01,68.5756
1973-07-01,68.8201
1973-10-01,68.6972
1974-01-01,68.4420
1974-04-01,67.8568
1974-07-01,67.6210
1974-10-01,66.0583
1975-01-01,66.6056
1975-04-01,67.4742
1975-07-01,67.2478
1975-10-01,67.4254
1976-01-01,65.7929
1976-04-01,65.2941
1976-07-01,66.9791
1976-10-01,68.8280
1977-01-01,70.4451
1977-04-01,71.9336
1977-07-01,73.5219
1977-10-01,75.1729
1978-01-01,76.6955
1978-04-01,77.5017
1978-07-01,78.5179
1978-10-01,79.6418
1979-01-01,80.8733
1979-04-01,81.6212
1979-07-01,81.9825
1979-10-01,82.4229
1980-01-01,81.0830
1980-04-01,79.6486
1980-07-01,80.2282
1980-10-01,79.7931
1981-01-01,79.2222
1981-04-01,78.5055
1981-07-01,77.0275
1981-10-01,76.6764
1982-01-01,76.4730
1982-04-01,75.4406
1982-07-01,74.0782
1982-10-01,74.3833
1983-01-01,75.2879
1983-04-01,75.3172
1983-07-01,75.4117
1983-10-01,75.7171
1984-01-01,75.8329
1984-04-01,75.9431
1984-07-01,76.1009
1984-10-01,76.1916
1985-01-01,76.6846
1985-04-01,77.0656
1985-07-01,77.5281
1985-10-01,78.3522
1986-01-01,79.7135
1986-04-01,81.4742
1986-07-01,82.7012
1986-10-01,84.0009
1987-01-01,85.2775
1987-04-01,86.1729
1987-07-01,87.0034
1987-10-01,88.0099
1988-01-01,88.9655
1988-04-01,90.0100
1988-07-01,91.3470
1988-10-01,92.6337
1989-01-01,93.6297
1989-04-01,93.4645
1989-07-01,93.9958
1989-10-01,94.4414
1990-01-01,93.8162
1990-04-01,93.1032
1990-07-01,91.2690
1990-10-01,89.3036
1991-01-01,88.1170
1991-04-01,87.8609
1991-07-01,87.1091
1991-10-01,86.2198
1992-01-01,85.7843
1992-04-01,84.9439
1992-07-01,84.1729
1992-10-01,83.8497
1993-01-01,83.3987
1993-04-01,83.1105
1993-07-01,83.3766
1993-10-01,83.5246
1994-01-01,83.3470
1994-04-01,83.2425
1994-07-01,82.9166
1994-10-01,82.8862
1995-01-01,82.5779
1995-04-01,82.3630
1995-07-01,82.6261
1995-10-01,82.7180
1996-01-01,82.6581
1996-04-01,82.4157
1996-07-01,82.4077
1996-10-01,82.3607
1997-01-01,82.4748
1997-04-01,82.9628
1997-07-01,83.6507
1997-10-01,84.6019
1998-01-01,85.9054
1998-04-01,86.7695
1998-07-01,87.9443
1998-10-01,89.2814
1999-01-01,90.3485
1999-04-01,91.2111
1999-07-01,92.4382
1999-10-01,93.8176
2000-01-01,95.2670
2000-04-01,96.6638
2000-07-01,97.9854
2000-10-01,99.6927
2001-01-01,101.0604
2001-04-01,101.8685
2001-07-01,103.6126
2001-10-01,105.6353
2002-01-01,107.1827
2002-04-01,108.7650
2002-07-01,110.9965
2002-10-01,112.9523
2003-01-01,114.1127
2003-04-01,116.1994
2003-07-01,118.9464
2003-10-01,122.7670
2004-01-01,125.8849
2004-04-01,128.9512
2004-07-01,133.0457
2004-10-01,137.0434
2005-01-01,141.7703
2005-04-01,145.5324
2005-07-01,148.7909
2005-10-01,152.1849
2006-01-01,153.6969
2006-04-01,150.7980
2006-07-01,148.9581
2006-10-01,149.7784
2007-01-01,146.5249
2007-04-01,139.9277
2007-07-01,135.5149
2007-10-01,130.1677
2008-01-01,123.5137
2008-04-01,115.4853
2008-07-01,108.9670
2008-10-01,106.4734
2009-01-01,103.9390
2009-04-01,102.7089
2009-07-01,102.4131
2009-10-01,102.5919
2010-01-01,102.1912
2010-04-01,101.0206
2010-07-01,99.0120
2010-10-01,97.7960
2011-01-01,95.7091
2011-04-01,93.7225
2011-07-01,93.7235
2011-10-01,93.9558
2012-01-01,94.2254
2012-04-01,95.6252
2012-07-01,97.3245
2012-10-01,99.3773
2013-01-01,101.3266
2013-04-01,103.4845
2013-07-01,105.5643
2013-10-01,107.8971
2014-01-01,108.4209
2014-04-01,108.0023
2014-07-01,109.2909
2014-10-01,111.7840
2015-01-01,113.7903
2015-04-01,113.7720
2015-07-01,115.0540
2015-10-01,117.2579
2016-01-01,118.6323
2016-04-01,118.6258
2016-07-01,119.8536
2016-10-01,121.4415
2017-01-01,122.1202
2017-04-01,123.1564
2017-07-01,124.5547
2017-10-01,126.0484
2018-01-01,126.8650
2018-04-01,127.1256
2018-07-01,127.8537
2018-10-01,129.1104
2019-01-01,129.7932
2019-04-01,129.4094
2019-07-01,130.3292
2019-10-01,132.2001
2020-01-01,133.5785
2020-04-01,135.3938
2020-07-01,137.4758
2020-10-01,142.3167
2021-01-01,146.0655
2021-04-01,149.1949
2021-07-01,152.9460
2021-10-01,157.4462
2022-01-01,163.9748
