state,2021-09-30 00:00:00,2021-10-31 00:00:00,2021-11-30 00:00:00,2021-12-31 00:00:00,2022-01-31 00:00:00,2022-02-28 00:00:00,2022-03-31 00:00:00,2022-04-30 00:00:00,2022-05-31 00:00:00,2022-06-30 00:00:00,latitude,longitude,name
IA,163074.8,164313.8,165570.0,167452.93,169794.27,171898.9,185702.56,187417.04,189090.6,186887.96,41.878003,-93.097702,Iowa
KS,134439.16,135646.48,136282.64,137518.88,138174.12,138662.48,139927.88,141271.17,142082.08,144612.87,39.011902,-98.484246,Kansas
UT,400729.71,407470.54,413809.79,422930.25,430859.04,439537.64,470009.26,476570.0,482750.43,488442.74,39.32098,-111.093731,Utah
VA,261263.34,263350.38,264996.34,268340.17,273029.45,277382.24,314178.43,316754.57,318496.57,320537.39,37.431573,-78.656894,Virginia
NC,214471.86,218589.8,222368.0,231460.55,233059.43,238901.63,248506.72,253868.62,258207.03,263066.69,35.759573,-79.0193,North Carolina
NE,184419.66,185690.03,187116.17,190356.9,190019.57,192666.97,208848.29,206955.04,205210.52,209685.67,41.492537,-99.901813,Nebraska
SD,215784.73,217972.19,220202.85,223908.65,227283.19,232760.23,248177.28,251347.17,247486.42,255760.72,43.969515,-99.901813,South Dakota
AL,149502.38,150946.72,152123.9,154791.69,157622.0,160476.17,165721.0,169096.26,170805.22,172700.48,32.318231,-86.902298,Alabama
ID,384100.3,389265.23,391827.3,400758.43,410954.97,420717.67,444972.89,447492.37,449269.04,453176.44,44.068202,-114.742041,Idaho
DE,363587.31,368875.7,373460.2,377660.39,383391.7,392538.44,378604.58,384511.12,388984.51,392977.86,38.910832,-75.52767,Delaware
AK,279856.38,281194.23,280393.55,276000.36,284450.4,284403.23,291084.55,293159.38,296603.42,302352.62,63.588753,-154.493062,Alaska
CT,408527.77,410862.0,413495.27,416608.6,425749.27,428165.86,443832.86,450419.39,458419.04,461925.71,41.603221,-73.087749,Connecticut
NM,225532.59,227850.52,230007.86,234628.54,239010.07,241837.34,239111.83,242376.72,244554.94,246795.56,34.97273,-105.032363,New Mexico
MS,110438.43,111313.17,112455.91,113808.0,115316.22,118249.21,121549.17,122815.26,123529.3,124697.78,32.354668,-89.398528,Mississippi
CO,445274.04,451902.64,458966.54,467911.54,477899.96,486141.18,511749.57,512486.77,526771.27,532113.23,39.550051,-105.782067,Colorado
NJ,404987.4,408548.17,410981.2,413892.57,419010.07,424089.6,437378.81,441964.52,446924.85,451447.89,40.058324,-74.405661,New Jersey
FL,274597.33,281139.0,287454.8,297734.52,302490.13,309996.07,318218.0,327285.47,336021.73,343772.1,27.664827,-81.515754,Florida
MN,219635.93,221327.9,222821.2,225556.27,228651.7,231977.03,245600.07,247388.04,249270.15,251291.22,46.729553,-94.6859,Minnesota
NV,346743.1,352536.23,358448.4,364802.23,373289.6,380992.2,445462.42,451583.83,455742.92,456727.92,38.80261,-116.419389,Nevada
AZ,309983.24,315432.17,320006.97,325201.69,331588.28,337608.9,351612.75,359722.04,366404.71,371529.57,34.048928,-111.093731,Arizona
WI,262997.33,265107.9,266827.73,270106.23,273623.0,277634.67,284406.76,286420.45,289093.07,291924.31,43.78444,-88.787868,Wisconsin
ND,177211.54,178333.29,179188.12,183325.84,181667.35,182556.15,173100.94,179341.07,177221.8,179809.5,47.551493,-101.002012,North Dakota
PA,192131.6,193634.43,195233.47,197459.8,199711.2,202451.03,213628.6,216063.16,218279.88,220417.64,41.203322,-77.194525,Pennsylvania
OK,112289.57,113462.13,114657.93,116842.47,118916.43,122037.47,128372.56,129443.96,130525.52,132233.52,35.007752,-97.092877,Oklahoma
KY,126942.2,128154.27,129535.13,131828.4,134262.5,136405.4,144813.27,146044.0,147282.62,152442.8,37.839333,-84.270018,Kentucky
RI,418602.74,424128.76,428034.81,433763.17,440766.91,448090.69,459364.85,463700.05,469458.89,474520.79,41.580095,-71.477429,Rhode Island
NH,365440.86,372426.03,378079.76,384322.69,387648.52,394528.14,399814.93,405429.45,409987.79,415782.86,43.193852,-71.572395,New Hampshire
MO,148962.33,150249.63,151228.07,152987.03,155483.57,157414.3,156634.79,158547.04,160172.0,162622.57,37.964253,-91.831833,Missouri
ME,323040.75,326042.64,328924.79,334409.82,338691.07,344850.61,325165.57,331773.21,333168.65,336471.52,45.253783,-69.445469,Maine
VT,250917.28,253961.48,256225.34,260961.97,265115.34,270422.17,274153.64,277194.52,279060.44,281547.88,44.558803,-72.577841,Vermont
GA,151146.0,153090.93,155063.07,158447.79,161830.59,166498.41,179101.83,180761.83,182298.83,185473.71,32.157435,-82.907123,Georgia
NY,284532.34,281573.73,283462.97,285469.5,288685.13,292451.8,316141.58,321205.0,326259.27,330328.31,43.299428,-74.217933,New York
CA,596462.75,599981.21,603721.96,608338.11,596100.14,605678.28,633360.73,643285.81,650798.35,653873.81,36.778261,-119.417932,California
HI,720688.96,736747.49,750782.55,764106.8,779082.41,790778.51,814501.21,834106.21,854245.56,870305.41,19.898682,-155.665857,Hawaii
IL,141945.7,142770.33,143510.7,144724.5,146371.6,148304.27,164888.17,166666.79,168325.08,169998.96,40.633125,-89.398528,Illinois
TN,209756.27,212856.6,216089.87,220826.1,224535.6,230878.6,230979.17,235274.14,238178.93,242145.41,35.517491,-86.580447,Tennessee
MA,605188.25,611653.29,617799.39,623992.14,633159.57,644382.21,650524.96,660129.04,668640.0,675752.41,42.407211,-71.382437,Massachusetts
OH,179065.77,180783.6,182106.87,184445.23,187079.03,190037.1,200756.36,203508.64,205599.39,208187.68,40.417287,-82.907123,Ohio
MD,351451.4,354877.47,357944.23,361111.5,366282.87,370807.9,395916.15,397900.12,401241.54,404417.46,39.045755,-76.641271,Maryland
MI,193570.97,195965.47,198026.83,200844.83,204310.53,208704.37,218418.07,221887.89,224642.07,227382.26,44.314844,-85.602364,Michigan
WY,309883.73,312565.67,314769.07,326593.69,325171.03,332386.4,305257.35,307934.65,310403.27,313279.08,43.075968,-107.290284,Wyoming
WA,458840.67,465670.47,472188.27,480216.0,489573.83,497509.57,510869.0,521031.83,526589.59,530330.45,47.751074,-120.740139,Washington
OR,369278.23,373208.9,378041.73,383248.67,392276.13,400618.1,388443.42,404187.28,410427.32,415038.44,43.804133,-120.554201,Oregon
SC,151929.43,154340.57,156627.67,159648.1,162677.97,166932.77,170215.43,173520.07,176123.67,179072.6,33.836081,-81.163725,South Carolina
IN,138306.13,139881.9,141327.17,143700.17,145844.93,148626.4,159643.12,161616.0,163128.62,169660.87,40.551217,-85.602364,Indiana
LA,148065.96,149005.79,149786.82,151515.11,153303.71,156036.89,163764.84,162713.31,163685.96,165091.46,31.244823,-92.145024,Louisiana
DC,670978.5,672519.0,671411.12,671481.88,673267.75,680615.88,574671.71,574805.71,575535.0,574220.29,38.905985,-77.033418,District of Columbia
MT,361024.17,365191.14,367805.86,374254.55,380794.21,391122.79,404499.86,412276.14,418223.86,424208.5,46.879682,-110.362566,Montana
AR,105345.43,106032.13,106855.43,108800.23,111463.0,113756.67,117925.77,117476.4,118660.7,117498.38,35.20105,-91.831833,Arkansas
WV,122877.66,123708.52,124613.66,119792.92,128804.93,131319.24,133420.75,135561.71,134767.16,135869.92,38.597626,-80.454903,West Virginia
TX,208482.93,210883.7,212784.87,216505.67,220787.9,226602.8,246854.27,251725.88,255751.62,259474.23,31.968599,-99.901813,Texas
national_average,281457.0,284569.32,287361.65,291478.32,295665.34,300773.38,308820.76,313059.14,316556.89,320193.83,,,
national_median,256090.31,258655.93,260610.84,264651.07,269072.4,273902.2,279280.2,281807.48,284076.76,286736.09,,,
